Date,Cash Available,Cash Invested,Open,High,Low,Close
2009-01-02,100000,0,30.6,30.945,30.299999,30.556
2009-01-05,100000,0,30.700001,31.370001,30.700001,31.174999
2009-01-06,100500.05303634,0,31.1,31.48,30.603001,31.124001
2009-01-07,100972.27903634001,0,31.379999,31.5,28.9,29.264999
2009-01-09,101430.28925268001,0,29.0,29.5,28.030001,28.855
2009-01-12,9828.250886680013,90608.568,28.5,28.75,27.559999,27.726
2009-01-13,55311.619636340016,45158.856366,27.700001,28.190001,27.511,27.636999
2009-01-14,102346.30963634001,0,27.799999,28.799999,27.799999,28.492001
2009-01-15,57064.89998600001,45180.1,27.985001,28.065001,27.299999,27.65
2009-01-16,103249.66653634001,0,27.85,28.690001,27.719999,28.511
2009-01-19,103708.24865268,0,28.065001,28.709999,28.065001,28.445999
2009-01-20,104162.17386902001,0,28.389999,28.549999,27.780001,28.313999
2009-01-21,59537.635503020014,44993.822366,28.200001,28.200001,27.309999,27.535999
2009-01-22,60163.61761868,44689.9,27.9,27.9,27.200001,27.35
2009-01-23,60869.50563502,44462.774,27.4,27.6,27.040001,27.211
2009-01-27,105494.70088536001,0,27.301001,27.85,27.25,27.721001
2009-01-28,105494.70088536001,0,27.865,28.589001,27.865,28.496
2009-01-29,59661.002519360016,46171.938,28.611,28.799999,28.049999,28.257
2009-01-30,105953.03786902002,0,28.0,29.101,27.900999,28.969
2009-02-02,60119.33950302002,46029.780000000006,28.85,28.85,28.049999,28.17
2009-02-03,106868.89485268002,0,28.299999,28.599001,28.0,28.291
2009-02-04,61213.300852680026,45920.303633999996,28.5,28.688999,27.941,28.103001
2009-02-05,61867.57079268003,45784.68,28.299999,28.5,27.82,28.02
2009-02-06,107780.02959268003,0,28.200001,28.780001,28.200001,28.618999
2009-02-09,107780.02959268003,0,28.789,29.4,28.625999,29.327999
2009-02-10,108253.88959268003,0,29.389,29.700001,29.0,29.556
2009-02-11,108729.38359268004,0,29.1,29.6,29.0,29.450001
2009-02-12,61343.38359268004,47618.028,29.4,29.450001,29.0,29.142
2009-02-13,109203.24359268004,0,29.549,29.9,29.315001,29.815001
2009-02-16,62797.64359268004,46637.628000000004,29.700001,29.815001,28.4,28.542
2009-02-17,17517.869592680043,91203.347268,28.299999,28.34,27.711,27.908001
2009-02-18,63250.44133268004,45995.466,27.965,28.48,27.709999,28.149
2009-02-19,63250.44133268004,46240.566,28.200001,28.379999,28.000999,28.299
2009-02-20,17581.776966680038,89830.787268,27.948999,27.948999,27.295,27.488001
2009-02-24,17581.776966680038,89945.167268,27.200001,27.59,27.021,27.523001
2009-02-25,17581.776966680038,91334.064,27.700001,28.200001,27.68,27.948
