Date,Cash Available,Cash Invested,Open,High,Low,Close
2010-01-19,10000,0,106.935402,106.935402,106.935402,106.935402
2011-01-03,5391.167325540006,11452.959624,123.0,123.800003,121.400002,121.839996
2012-01-02,515.837969500003,15632.200376,84.349998,84.349998,82.029999,83.150002
2013-01-01,15971.62248226,5914.757347,125.845901,125.845901,125.845901,125.845901
2014-01-01,10505.332983079996,12228.459624000001,129.770004,130.899994,129.699997,130.089996
2015-01-01,13680.802301240006,17768.819906,186.0,189.800003,186.0,189.029999
2016-01-01,6897.836785400001,28710.419295,201.0,203.699997,200.110001,203.619995
2017-01-02,2439.91059950003,41098.680188,216.160004,218.800003,215.25,218.610001
2018-01-01,31227.74233718004,29657.0,320.0,320.0,314.209991,315.5
2019-01-01,13606.562965220046,54465.478308,290.0,292.0,288.299988,289.709991
2020-01-01,138.35695090006266,82775.45971799998,294.700012,295.309998,289.350006,293.529999
2021-01-01,65310.11779402045,64331.720376,345.0,345.0,339.0,342.190002
2022-01-03,250664.31735250365,0,386.100006,464.679993,386.100006,446.809998
