OrderID,Buy Date,Buy Price,Sell Date,Sell Price
98,2011-08-16,102.519997,2011-09-09,104.57039694000001,187
99,2011-08-19,97.0,2011-08-22,98.94,9
100,2011-08-26,96.5,2011-08-29,98.43,9
101,2011-08-30,98.599998,2011-09-02,100.57199796,9
102,2011-09-09,101.5,2011-09-21,103.53,9
103,2011-09-09,101.75,2012-02-10,103.785,9
104,2011-09-12,99.099998,2011-09-13,101.08199796,182
105,2011-09-13,99.120003,2011-09-15,101.10240306,5
106,2011-09-14,99.199997,2011-09-15,101.18399694,183
107,2011-09-20,100.760002,2011-09-21,102.77520204,190
108,2011-09-22,99.25,2011-09-26,101.235,197
109,2011-09-23,98.400002,2011-09-26,100.36800204000001,8
110,2011-09-26,97.120003,2011-09-26,99.06240306,1
111,2011-09-26,99.199997,2011-09-27,101.18399694,1
112,2011-09-29,98.330002,2011-09-30,100.29660204,207
113,2011-09-30,97.800003,2011-10-03,99.75600306000001,3
114,2011-09-30,98.730003,2011-10-10,100.70460306,3
115,2011-10-03,96.25,2011-10-04,98.175,207
116,2011-10-04,96.800003,2011-10-04,98.73600306,8
117,2011-10-04,94.510002,2011-10-05,96.40020204,8
118,2011-10-04,95.360001,2011-10-07,97.26720102,8
119,2011-10-05,93.349998,2011-10-07,95.21699796,205
120,2011-10-10,96.199997,2011-10-10,98.12399694,219
121,2011-10-11,97.099998,2011-10-12,99.04199796,220
122,2011-10-12,97.099998,2011-10-13,99.04199796,7
123,2011-10-13,98.599998,2011-10-17,100.57199796,219
124,2011-10-14,98.410004,2011-10-17,100.37820408,8
125,2011-10-18,100.0,2011-11-08,102.0,223
126,2011-10-20,98.0,2011-10-24,99.96000000000001,4
127,2011-10-25,96.75,2011-10-28,98.685,4
128,2011-10-31,98.900002,2011-11-03,100.87800204,4
129,2011-11-09,99.410004,2011-11-28,101.39820408,228
130,2011-11-11,98.300003,2011-11-14,100.26600306,4
131,2011-11-15,95.800003,2011-11-16,97.71600306,4
132,2011-11-17,92.75,2011-11-28,94.605,4
133,2011-11-29,91.5,2011-12-01,93.33,254
134,2011-11-30,90.900002,2011-12-01,92.71800204,2
135,2011-12-02,91.620003,2011-12-02,93.45240306,258
136,2011-12-08,91.550003,2012-01-17,93.38100306000001,260
137,2011-12-16,86.260002,2011-12-19,87.98520204,5
138,2011-12-20,83.449997,2011-12-21,85.11899694,5
139,2011-12-22,84.010002,2011-12-22,85.69020204,5
140,2011-12-28,83.029999,2012-01-03,84.69059898,5
141,2012-01-16,89.900002,2012-01-17,91.69800204,4
142,2012-01-18,91.150002,2012-01-19,92.97300204,267
143,2012-01-30,95.559998,2012-01-31,97.47119796,256
144,2012-02-01,97.25,2012-02-02,99.19500000000001,258
145,2012-02-02,98.010002,2012-02-03,99.97020204,4
146,2012-02-07,100.010002,2012-02-08,102.01020204,254
147,2012-02-17,106.0,2012-02-21,108.12,254
148,2012-02-22,104.574203,2012-03-14,106.66568706,256
149,2012-03-15,104.834602,2012-04-03,106.93129404000001,263
150,2012-03-16,103.500999,2012-04-02,105.57101897999999,5
151,2012-04-09,105.276299,2012-09-21,107.38182497999999,267
152,2012-05-16,95.283699,2012-06-08,97.18937298,5
153,2012-10-10,111.876198,2012-11-12,114.11372196,257
154,2012-11-16,113.416298,2012-11-27,115.68462396,258
155,2012-12-21,122.414101,2013-01-01,124.86238302000001,242
156,2013-01-11,125.182999,2013-05-17,127.68665898,241
157,2013-01-16,125.629601,2013-05-17,128.14219302,3
158,2013-05-20,126.826599,2013-12-20,129.36313098,242
159,2013-05-23,123.177002,2013-05-28,125.64054204,3
160,2013-06-10,121.9757,2013-11-05,124.415214,3
161,2013-11-13,118.400002,2013-11-14,120.76800204,3
162,2013-12-27,128.600006,2014-01-02,131.17200612000002,244
163,2013-12-30,128.520004,2014-01-02,131.09040408,1
164,2014-01-03,129.460007,2014-03-31,132.04920714,245
165,2014-01-17,123.550003,2014-01-20,126.02100306000001,3
166,2014-01-28,119.300003,2014-01-29,121.68600306,3
167,2014-02-14,117.760002,2014-02-17,120.11520204,3
168,2014-03-31,130.25,2014-03-31,132.855,3
169,2014-04-03,134.0,2014-04-09,136.68,240
170,2014-04-04,131.410004,2014-04-04,134.03820407999999,3
171,2014-04-07,133.550003,2014-04-09,136.22100306000002,3
172,2014-04-11,136.520004,2014-04-11,139.25040408,235
