OrderID,Buy Date,Buy Price,Sell Date,Sell Price
644,2017-03-21,251.449997,2017-03-31,253.96449697
645,2017-03-23,248.960007,2017-03-23,251.44960706999998
646,2017-03-27,248.5,2017-03-28,250.985
647,2017-03-28,248.610001,2017-03-29,251.09610101
648,2017-03-30,247.199997,2017-03-30,249.67199697
649,2017-04-05,252.020004,2017-04-05,254.54020404
650,2017-04-11,249.100006,2017-04-11,251.59100606
651,2017-04-19,257.019989,2017-04-19,259.59018889000004
652,2017-04-26,265.0,2017-04-27,267.65
653,2017-05-02,264.019989,2017-05-02,266.66018889000003
654,2017-05-05,264.019989,2017-05-08,266.66018889000003
655,2017-05-05,265.529999,2017-05-08,268.18529899
656,2017-05-08,265.019989,2017-05-09,267.67018889
657,2017-05-08,265.529999,2017-05-09,268.18529899
658,2017-05-15,254.0,2017-05-15,256.54
659,2017-05-18,266.200012,2017-05-19,268.86201212000003
660,2017-05-18,266.589996,2017-06-05,269.25589596
661,2017-05-19,262.209991,2017-05-19,264.83209091
662,2017-05-22,262.049988,2017-05-29,264.67048788
663,2017-05-29,259.700012,2017-05-30,262.29701212000003
664,2017-06-22,267.399994,2017-07-04,270.07399394
665,2017-06-23,264.51001,2017-06-30,267.1551101
666,2017-07-10,270.049988,2017-07-10,272.75048788
667,2017-07-18,276.140015,2017-07-19,278.90141515
668,2017-07-21,277.5,2017-07-24,280.275
669,2017-08-02,280.019989,2017-08-03,282.82018889
670,2017-08-08,284.51001,2017-08-09,287.35511010000005
671,2017-08-08,285.660004,2017-08-09,288.51660404
672,2017-08-09,280.149994,2017-08-17,282.95149394
673,2017-08-09,281.709991,2017-08-30,284.52709091
674,2017-08-21,275.859985,2017-08-22,278.61858485
675,2017-08-22,274.519989,2017-08-23,277.26518889
676,2017-08-29,279.799988,2017-08-30,282.59798788
677,2017-09-04,283.5,2017-09-04,286.335
678,2017-09-08,288.0,2017-09-11,290.88
679,2017-09-21,290.0,2017-10-18,292.9
680,2017-09-21,291.200012,2017-10-19,294.11201212000003
681,2017-10-19,290.5,2017-10-25,293.40500000000003
682,2017-10-19,291.940002,2017-10-25,294.85940202
683,2017-10-27,297.0,2017-10-30,299.97
684,2017-10-27,298.549988,2017-10-30,301.53548788
685,2017-10-30,298.5,2017-10-31,301.485
686,2017-10-30,301.450012,2017-11-01,304.46451212
687,2017-11-07,302.299988,2017-11-21,305.32298787999997
688,2017-11-07,302.929993,2017-11-27,305.95929293
689,2017-12-01,300.170013,2017-12-07,303.17171313
690,2017-12-01,300.880005,2017-12-08,303.88880505
691,2017-12-12,303.0,2017-12-15,306.03000000000003
692,2017-12-13,298.450012,2017-12-14,301.43451212
693,2017-12-14,297.920013,2017-12-15,300.89921312999996
694,2017-12-15,302.040009,2017-12-18,305.06040909
695,2017-12-15,302.309998,2017-12-18,305.33309798
696,2017-12-18,296.679993,2017-12-18,299.64679293
697,2018-01-01,314.209991,2018-01-03,317.35209091
698,2018-01-01,315.5,2018-01-03,318.65500000000003
699,2018-01-03,313.839996,2018-01-04,316.97839596
700,2018-01-03,314.549988,2018-01-04,317.69548788
701,2018-01-12,320.399994,2018-01-15,323.60399394
702,2018-01-16,316.399994,2018-01-17,319.56399394
703,2018-01-16,317.48999,2018-01-18,320.6648899
704,2018-01-17,312.309998,2018-01-17,315.43309798
705,2018-01-18,312.149994,2018-01-19,315.27149393999997
706,2018-01-18,314.029999,2018-01-22,317.17029899
707,2018-01-19,301.5,2018-01-19,304.515
708,2018-01-24,318.410004,2018-05-28,321.59410404
709,2018-01-25,315.649994,2018-05-28,318.80649394
710,2018-05-28,297.0,2018-05-28,299.97
711,2018-05-28,301.420013,2018-06-04,304.43421313
712,2018-06-01,295.200012,2018-06-04,298.15201212
713,2018-06-04,291.820007,2018-06-06,294.73820707
714,2018-06-04,292.380005,2018-06-07,295.30380505
715,2018-06-14,298.799988,2018-06-21,301.78798788
716,2018-06-15,297.700012,2018-06-21,300.67701212000003
717,2018-06-21,293.399994,2018-07-25,296.33399393999997
718,2018-06-21,293.839996,2018-07-26,296.77839596
719,2018-07-27,291.899994,2018-07-27,294.81899394
720,2018-08-01,300.0,2018-08-01,303.0
721,2018-08-13,302.100006,2018-08-14,305.12100606
722,2018-08-13,303.179993,2018-08-17,306.21179293
723,2018-08-23,311.440002,2018-08-24,314.55440202
724,2018-09-04,308.0,2018-09-07,311.08
725,2018-09-04,308.850006,2018-09-07,311.93850606
726,2018-09-07,307.309998,2018-09-07,310.38309798
727,2018-09-10,307.179993,2018-09-21,310.25179293
728,2018-09-10,308.190002,2018-09-21,311.27190201999997
729,2018-09-21,280.600006,2018-09-21,283.40600606000004
730,2018-09-21,294.950012,2019-03-14,297.89951212
731,2018-09-24,285.399994,2018-09-25,288.25399394
732,2018-09-25,281.51001,2018-09-25,284.3251101
733,2018-09-26,286.26001,2018-09-27,289.12261010000003
734,2018-09-27,285.0,2018-11-05,287.85
735,2018-10-01,274.5,2018-10-01,277.245
736,2018-10-03,277.0,2018-10-11,279.77
737,2018-10-11,260.119995,2018-10-11,262.72119495000004
738,2018-10-15,269.149994,2018-10-15,271.84149394
739,2018-10-17,270.049988,2018-10-19,272.75048788
740,2018-10-19,266.549988,2018-10-22,269.21548788
741,2018-10-22,266.5,2018-10-23,269.165
742,2018-10-23,262.100006,2018-10-24,264.72100606000004
743,2018-10-24,261.660004,2018-10-24,264.27660404
744,2018-10-25,260.549988,2018-10-29,263.15548788
745,2018-10-31,266.309998,2018-10-31,268.97309798000003
746,2018-11-05,274.0,2018-11-05,276.74
747,2018-11-05,280.329987,2018-11-07,283.13328687
748,2018-11-06,277.119995,2018-11-07,279.89119495
749,2018-11-07,279.100006,2018-11-09,281.89100606
750,2018-11-07,280.679993,2018-11-09,283.48679293000004
751,2018-11-09,280.0,2018-11-12,282.8
752,2018-11-12,278.01001,2018-11-14,280.79011010000005
753,2018-11-12,278.600006,2018-11-16,281.38600606
754,2018-12-05,279.0,2018-12-06,281.79
755,2018-12-05,279.529999,2018-12-11,282.32529898999996
756,2018-12-06,275.51001,2018-12-11,278.2651101
757,2018-12-11,268.640015,2018-12-11,271.32641515
758,2018-12-11,276.869995,2018-12-12,279.63869495
759,2018-12-21,288.0,2018-12-31,290.88
760,2018-12-21,288.470001,2018-12-31,291.35470101000004
761,2019-01-02,286.25,2019-03-11,289.1125
762,2019-01-02,287.450012,2019-03-11,290.32451212
763,2019-03-11,282.0,2019-03-11,284.82
764,2019-03-13,287.940002,2019-03-14,290.81940202
765,2019-03-14,286.799988,2019-03-15,289.66798788
766,2019-03-14,288.480011,2019-03-20,291.36481111
767,2019-03-20,288.019989,2019-03-28,290.90018889000004
768,2019-03-20,288.649994,2019-03-28,291.53649394
769,2019-03-25,281.980011,2019-03-26,284.79981111
770,2019-03-27,284.559998,2019-03-28,287.40559798
771,2019-04-15,285.0,2019-04-15,287.85
772,2019-04-15,279.100006,2019-04-15,281.89100606
773,2019-04-18,291.01001,2019-05-03,293.92011010000004
774,2019-04-22,287.01001,2019-04-25,289.8801101
775,2019-04-22,287.720001,2019-04-25,290.59720101000005
776,2019-04-30,284.5,2019-05-02,287.345
777,2019-05-03,282.720001,2019-05-06,285.54720101000004
778,2019-05-03,284.089996,2019-05-06,286.93089596
779,2019-05-06,278.839996,2019-05-07,281.62839596
780,2019-05-06,279.320007,2019-05-08,282.11320707
781,2019-05-08,275.100006,2019-05-20,277.85100606000003
782,2019-05-08,275.619995,2019-05-20,278.37619495
783,2019-05-09,272.209991,2019-05-10,274.93209091
784,2019-05-10,272.380005,2019-05-20,275.10380505
785,2019-05-21,276.130005,2019-05-22,278.89130504999997
786,2019-05-22,274.339996,2019-05-23,277.08339595999996
787,2019-05-23,276.390015,2019-05-24,279.15391515
788,2019-05-23,277.339996,2019-05-24,280.11339596
789,2019-06-04,285.049988,2019-06-06,287.90048788
790,2019-06-06,282.109985,2019-06-07,284.93108485
791,2019-06-06,282.869995,2019-06-07,285.69869495
792,2019-06-17,275.25,2019-06-20,278.0025
793,2019-06-17,275.700012,2019-06-20,278.45701212
794,2019-06-19,273.0,2019-06-20,275.73
795,2019-06-24,277.109985,2019-06-25,279.88108485
796,2019-06-25,276.019989,2019-06-25,278.78018889000003
797,2019-06-26,276.149994,2019-06-26,278.91149394
798,2019-07-01,281.119995,2019-07-02,283.93119495
799,2019-07-02,282.0,2019-07-02,284.82
800,2019-07-03,277.0,2019-07-03,279.77
801,2019-07-05,282.0,2019-07-08,284.82
802,2019-07-05,282.75,2019-07-08,285.5775
803,2019-07-08,275.549988,2019-07-09,278.30548788
804,2019-07-08,276.579987,2019-07-09,279.34578687000004
805,2019-07-09,275.0,2019-07-10,277.75
806,2019-07-10,275.0,2019-07-11,277.75
807,2019-07-10,275.529999,2019-07-11,278.28529899
808,2019-07-11,275.709991,2019-07-11,278.46709091
809,2019-07-16,278.0,2019-07-16,280.78000000000003
810,2019-07-18,280.0,2019-07-19,282.8
811,2019-07-18,280.51001,2019-07-19,283.3151101
812,2019-07-19,275.0,2019-07-22,277.75
813,2019-07-19,275.380005,2019-07-22,278.13380505
814,2019-07-22,272.059998,2019-07-22,274.78059798
815,2019-07-24,270.0,2019-07-25,272.7
816,2019-07-24,270.850006,2019-07-25,273.55850606
817,2019-07-26,271.0,2019-07-26,273.71
818,2019-07-29,270.049988,2019-07-30,272.75048788
819,2019-07-29,271.320007,2019-08-09,274.03320707
820,2019-07-30,267.25,2019-07-31,269.9225
821,2019-07-30,267.769989,2019-08-01,270.44768889
822,2019-07-31,264.049988,2019-07-31,266.69048788
823,2019-08-01,264.100006,2019-08-02,266.74100606
824,2019-08-01,266.589996,2019-08-07,269.25589596
825,2019-08-02,262.149994,2019-08-02,264.77149393999997
826,2019-08-05,261.019989,2019-08-05,263.63018889
827,2019-08-07,265.820007,2019-08-08,268.47820707
828,2019-08-08,265.769989,2019-08-08,268.42768889
829,2019-08-13,265.25,2019-08-14,267.9025
830,2019-08-13,265.880005,2019-08-14,268.53880505
831,2019-08-14,265.100006,2019-08-14,267.75100606
832,2019-08-16,265.609985,2019-08-16,268.26608484999997
833,2019-08-20,266.149994,2019-08-21,268.81149394
