Date,Cash Available,Cash Invested,Open,High,Low,Close
2009-01-02,10000,0,30.6,30.945,30.299999,30.556
2010-01-04,15658.944486520006,0,52.171001,52.470001,52.105,52.393002
2011-01-03,5539.142874700014,20266.115999999998,62.09,62.285999,61.904999,62.166
2012-01-02,5539.142874700014,15380.028326000001,47.299999,47.299999,46.75,47.178001
2013-01-01,5539.142874700014,19674.641811999998,60.351662,60.351662,60.351662,60.351662
2014-01-01,6804.74151348001,20772.394652000003,63.599998,63.928001,63.599998,63.719002
2015-01-01,4542.608692340011,27323.364978,83.849998,83.969002,83.0,83.814003
2016-01-01,4559.802552160008,26244.955022,80.199997,80.75,80.0,80.505997
2017-01-02,7050.414294820008,27224.586652,84.0,84.0,83.040001,83.511002
2018-01-01,23459.409383180016,17573.682489,108.499001,108.595001,107.5,107.814003
2019-01-01,29706.778861320017,18579.392163,113.675003,114.099998,113.010002,113.984001
2020-01-01,17646.62128740001,42190.919347999996,128.949997,131.0,128.949997,129.419998
2021-01-01,66265.25357982072,48759.822282,159.679993,159.679993,147.649994,149.570007
2022-01-03,235414.32395424432,62174.720326,190.0,190.949997,185.300003,190.720001
