OrderID,Buy Date,Buy Price,Sell Date,Sell Price
1,2021-11-15,465.75,2021-11-22,489.0375,212,4678.3300000000045
2,2021-11-17,404.399994,2021-11-17,424.6199937,3,42.65999910000005
3,2021-11-18,403.899994,2021-11-18,424.09499370000003,3,42.58499910000012
4,2021-11-22,449.140015,2021-11-25,471.59701575,3,49.37100225000006
5,2021-11-23,390.799988,2021-11-23,410.3399874,230,4258.939861999999
6,2021-11-24,396.399994,2021-11-24,416.21999370000003,236,4434.259929200009
7,2021-11-25,457.109985,2021-11-26,479.96548425000003,247,5352.508314750009
8,2021-11-26,446.01001,2021-12-02,468.3105105,1,6.300500499999998
9,2021-11-29,419.200012,2021-11-30,440.1600126,265,5266.780159
10,2021-11-30,439.73999,2021-12-02,461.7269895,17,340.7789915000004
11,2021-12-01,413.399994,2021-12-01,434.0699937,264,5174.259920800002
12,2021-12-02,444.570007,2021-12-06,466.79850734999997,275,5798.0375962499975
13,2021-12-06,436.51001,2021-12-07,458.33551050000005,17,338.03350850000055
14,2021-12-07,442.309998,2021-12-10,464.42549790000004,293,6146.861470700009
15,2021-12-08,402.5,2021-12-08,422.625,14,253.75
16,2021-12-09,448.079987,2021-12-10,470.48398635000007,14,284.6559909000007
17,2021-12-13,448.920013,2021-12-16,471.36601365,316,6729.7762054000095
18,2021-12-14,450.01001,2021-12-16,472.51051050000007,1,6.500500500000044
19,2021-12-17,434.829987,2021-12-21,456.57148635000004,335,6911.242282250009
20,2021-12-20,422.660004,2021-12-21,443.79300420000004,8,146.0640016000002
21,2021-12-24,381.700012,2021-12-24,400.7850126,356,6446.280213600001
22,2021-12-27,397.100006,2021-12-27,416.95500630000004,373,7026.575111900011
23,2021-12-29,440.130005,2021-12-31,462.13650525,385,8039.802596250017
24,2021-12-31,443.820007,2022-01-04,466.01100735,1,6.191000350000024
25,2022-01-03,386.100006,2022-01-03,405.4050063,400,7326.480120000007
26,2022-01-05,447.160004,2022-01-06,469.5180042,413,8764.974082599998
27,2022-01-06,446.910004,2022-01-07,469.2555042,1,6.345500200000004
28,2022-01-17,397.799988,2022-01-17,417.6899874,424,8003.65974560001
29,2022-01-18,451.5,2022-01-21,474.07500000000005,440,9427.76000000002
30,2022-01-20,450.950012,2022-01-21,473.49751260000005,7,135.83250420000024
31,2022-01-24,427.950012,2022-01-25,449.3475126,477,9689.3677862
32,2022-01-25,431.480011,2022-01-31,453.05401155,17,333.7580093499999
33,2022-01-27,423.390015,2022-01-31,444.55951575,496,9967.652371999999
34,2022-01-31,432.309998,2022-02-04,453.92549790000004,9,170.53949910000028
35,2022-02-04,441.529999,2022-02-07,463.60649895,515,10794.797474250014
36,2022-02-07,438.619995,2022-02-09,460.55099475000003,10,194.30999750000012
37,2022-02-08,437.119995,2022-02-09,458.97599475000004,543,11269.027864250012
38,2022-02-09,441.940002,2022-02-11,464.0370021,2,27.194000200000005
39,2022-02-11,437.149994,2022-02-15,459.0074937,571,11851.672328700002
40,2022-02-14,422.790009,2022-02-15,443.92950945,10,186.39500450000014
41,2022-02-17,431.25,2022-02-21,452.8125,616,12613.18
42,2022-02-21,423.059998,2022-02-22,444.2129979,1,5.1529998999999975
43,2022-02-22,421.720001,2022-02-25,442.80600105,657,13157.182032849998
44,2022-02-24,400.100006,2022-02-25,420.1050063,3,42.01500090000002
45,2022-02-25,416.950012,2022-02-28,437.79751260000006,1,4.847500600000046
46,2022-03-02,366.200012,2022-03-02,384.51001260000004,693,12047.690415800016
47,2022-03-04,410.290009,2022-03-10,430.80450945,721,14047.09482445001
48,2022-03-10,418.470001,2022-03-11,439.39350105000005,19,363.54650095000056
49,2022-03-11,420.619995,2022-03-14,441.65099475000005,741,14801.930814750027
50,2022-03-14,421.059998,2022-03-17,442.11299790000004,16,305.8479984000005
51,2022-03-15,416.820007,2022-03-16,437.66100735,775,15340.555271250001
52,2022-03-16,426.200012,2022-03-21,447.51001260000004,8,147.4800048000002
53,2022-03-17,431.25,2022-03-21,452.8125,794,16262.045
54,2022-03-21,427.589996,2022-03-22,448.9694958,7,127.65649860000013
55,2022-03-22,427.76001,2022-03-24,449.14801050000005,847,17208.87642350003
56,2022-03-24,429.799988,2022-03-25,451.28998740000003,7,128.4299958000003
57,2022-03-25,428.730011,2022-03-29,450.16651155,883,17980.309985650005
58,2022-03-28,428.279999,2022-03-29,449.69399895,9,168.72599955000004
59,2022-04-01,392.149994,2022-04-01,411.7574937,923,17190.962223100007
60,2022-04-05,441.0,2022-04-11,463.05,933,19543.990000000013
61,2022-04-07,411.600006,2022-04-07,432.1800063,14,260.1200041999999
62,2022-04-12,403.299988,2022-04-12,423.4649874,944,18082.6394336
63,2022-04-13,437.01001,2022-04-19,458.86051050000003,999,20738.629999500008
64,2022-04-19,448.98999,2022-04-22,471.4394895,42,882.6989790000001
65,2022-04-22,453.149994,2022-05-02,475.8074937,1005,21633.407198500016
66,2022-04-25,443.779999,2022-04-27,465.96899895,48,998.8919976000018
67,2022-04-27,448.720001,2022-05-02,471.15600105000004,1,6.436000050000018
68,2022-04-29,449.25,2022-05-02,471.71250000000003,50,1053.9450000000018
69,2022-05-04,388.399994,2022-05-04,407.8199937,1123,20718.639663100006
70,2022-05-05,408.399994,2022-05-05,428.8199937,1201,23300.319639700007
71,2022-05-06,425.880005,2022-05-09,447.17400525,1252,25331.448313000015
72,2022-05-09,418.700012,2022-05-10,439.63501260000004,28,543.1800168000007
73,2022-05-10,408.98999,2022-05-11,429.4394895,1334,25919.632333
