OrderID,Buy Date,Buy Price,Sell Date,Sell Price
112,2022-04-06,411.549988,2022-04-06,419.78098776,731
113,2022-04-07,411.600006,2022-04-07,419.83200612,741
114,2022-04-08,446.0,2022-04-08,454.92,755
115,2022-04-11,453.100006,2022-04-11,462.16200612,756
116,2022-04-12,403.299988,2022-04-12,411.36598776,760
117,2022-04-13,437.01001,2022-04-13,445.7502102,785
118,2022-04-18,449.869995,2022-04-19,458.8673949,793
119,2022-04-19,440.089996,2022-04-19,448.89179592,15
120,2022-04-19,448.98999,2022-04-20,457.9697898,15
121,2022-04-20,440.040009,2022-04-20,448.84080918,809
122,2022-04-21,448.040009,2022-04-22,457.00080918000003,836
123,2022-04-22,441.01001,2022-04-22,449.8302102,4
124,2022-04-22,453.149994,2022-04-26,462.21299388,4
125,2022-04-25,421.26001,2022-04-25,429.68521020000003,841
126,2022-04-26,443.779999,2022-04-26,452.65559898,873
127,2022-04-27,445.809998,2022-04-28,454.72619796000004,873
128,2022-04-28,445.459991,2022-04-29,454.36919082000003,15
129,2022-04-29,439.470001,2022-04-29,448.25940102000004,874
130,2022-05-02,443.0,2022-05-04,451.86,912
131,2022-05-04,388.399994,2022-05-04,396.16799388,13
132,2022-05-05,408.399994,2022-05-05,416.56799388,960
133,2022-05-06,423.220001,2022-05-09,431.68440102000005,973
134,2022-05-09,416.100006,2022-05-10,424.42200612,28
135,2022-05-09,418.700012,2022-05-10,427.07401224,28
136,2022-05-10,400.0,2022-05-10,408.0,974
137,2022-05-11,399.950012,2022-05-11,407.94901224,1071
138,2022-05-12,383.899994,2022-05-12,391.57799388,1091
139,2022-05-13,381.01001,2022-05-13,388.6302102,1137
140,2022-05-16,392.029999,2022-05-16,399.87059897999995,1163
141,2022-05-17,391.100006,2022-05-17,398.92200612,1168
142,2022-05-18,392.25,2022-05-18,400.095,1161
143,2022-05-19,396.0,2022-05-20,403.92,1175
144,2022-05-20,400.399994,2022-05-23,408.40799388,48
145,2022-05-20,406.25,2022-05-23,414.375,48
146,2022-05-23,396.100006,2022-05-24,404.02200612,1118
147,2022-05-24,398.600006,2022-05-25,406.57200612,125
148,2022-05-24,400.459991,2022-05-25,408.46919082,125
149,2022-05-25,392.0,2022-05-26,399.84000000000003,1002
150,2022-05-26,385.119995,2022-05-26,392.8223949,280
151,2022-05-27,396.26001,2022-05-30,404.18521020000003,1286
152,2022-05-30,393.01001,2022-05-30,400.87021020000003,5
