Date,Cash Available,Cash Invested,Open,High,Low,Close
2010-01-19,10000,0,106.935402,106.935402,106.935402,106.935402
2011-01-03,8466.188022820008,5726.479812,123.0,123.800003,121.400002,121.839996
2012-01-02,5938.52789976003,11724.150282,84.349998,84.349998,82.029999,83.150002
2013-01-01,18836.092722880032,0,125.845901,125.845901,125.845901,125.845901
2014-01-01,19640.562280930026,0,129.770004,130.899994,129.699997,130.089996
2015-01-01,24931.41981101004,0,186.0,189.800003,186.0,189.029999
2016-01-01,7256.87213053003,19140.27953,201.0,203.699997,200.110001,203.619995
2017-01-02,10301.715808880028,20549.340094,216.160004,218.800003,215.25,218.610001
2018-01-01,7318.609867380015,29657.0,320.0,320.0,314.209991,315.5
2019-01-01,28709.545762050024,13616.369577,290.0,292.0,288.299988,289.709991
2020-01-01,27552.42057861008,27591.819905999997,294.700012,295.309998,289.350006,293.529999
2021-01-01,64531.925614770356,16082.930094,345.0,345.0,339.0,342.190002
2022-01-03,129808.55324698293,0,386.100006,464.679993,386.100006,446.809998
